auction_id,domain,title,max_budget,weight_cost,weight_reliability,weight_delivery,weight_reviews,duration_minutes,created_at
AUC-0001,Raw Materials & Metals,Procurement Request #0001 - Raw Materials & Metals,104014.99,25,28,13,34,10,2026-06-14 00:00:00
AUC-0002,Manufacturing & Heavy Machinery,Procurement Request #0002 - Manufacturing & Heavy Machinery,168452.07,45,12,28,15,5,2026-04-23 00:00:00
AUC-0003,Healthcare & Medical Supplies,Procurement Request #0003 - Healthcare & Medical Supplies,121061.64,28,17,19,36,15,2026-03-23 00:00:00
AUC-0004,Manufacturing & Heavy Machinery,Procurement Request #0004 - Manufacturing & Heavy Machinery,183948.19,40,32,20,10,15,2026-04-27 00:00:00
AUC-0005,Logistics & Freight,Procurement Request #0005 - Logistics & Freight,44017.68,34,12,16,38,10,2026-05-31 00:00:00
AUC-0006,IT Hardware,Procurement Request #0006 - IT Hardware,264339.3,29,13,15,43,30,2026-05-01 00:00:00
AUC-0007,Logistics & Freight,Procurement Request #0007 - Logistics & Freight,43130.16,46,13,27,14,15,2026-02-24 00:00:00
AUC-0008,Raw Materials & Metals,Procurement Request #0008 - Raw Materials & Metals,402174.69,39,24,18,19,5,2026-01-25 00:00:00
AUC-0009,Software & Cloud Services,Procurement Request #0009 - Software & Cloud Services,124518.92,34,36,29,10,5,2026-02-26 00:00:00
AUC-0010,Manufacturing & Heavy Machinery,Procurement Request #0010 - Manufacturing & Heavy Machinery,274605.84,40,14,12,34,10,2026-04-03 00:00:00
AUC-0011,Raw Materials & Metals,Procurement Request #0011 - Raw Materials & Metals,441238.75,52,11,19,18,15,2026-02-15 00:00:00
AUC-0012,IT Hardware,Procurement Request #0012 - IT Hardware,328929.91,40,37,24,10,10,2026-01-26 00:00:00
AUC-0013,Raw Materials & Metals,Procurement Request #0013 - Raw Materials & Metals,271149.32,26,35,14,25,5,2026-01-05 00:00:00
AUC-0014,IT Hardware,Procurement Request #0014 - IT Hardware,168923.54,34,14,16,36,30,2026-04-07 00:00:00
AUC-0015,Healthcare & Medical Supplies,Procurement Request #0015 - Healthcare & Medical Supplies,173170.94,55,40,30,10,5,2026-05-31 00:00:00
AUC-0016,Construction & Infrastructure,Procurement Request #0016 - Construction & Infrastructure,338048.61,36,39,12,13,5,2026-01-18 00:00:00
AUC-0017,Software & Cloud Services,Procurement Request #0017 - Software & Cloud Services,497128.29,43,35,14,10,5,2026-03-27 00:00:00
AUC-0018,IT Hardware,Procurement Request #0018 - IT Hardware,334301.2,22,40,24,14,5,2026-02-14 00:00:00
AUC-0019,Construction & Infrastructure,Procurement Request #0019 - Construction & Infrastructure,283313.87,42,36,22,10,30,2026-01-09 00:00:00
AUC-0020,Raw Materials & Metals,Procurement Request #0020 - Raw Materials & Metals,368018.75,47,15,21,17,10,2026-02-18 00:00:00
AUC-0021,Logistics & Freight,Procurement Request #0021 - Logistics & Freight,237950.75,37,24,14,25,5,2026-06-08 00:00:00
AUC-0022,Construction & Infrastructure,Procurement Request #0022 - Construction & Infrastructure,39469.75,54,17,30,10,15,2026-05-09 00:00:00
AUC-0023,Raw Materials & Metals,Procurement Request #0023 - Raw Materials & Metals,285525.44,55,25,11,9,5,2026-03-14 00:00:00
AUC-0024,Raw Materials & Metals,Procurement Request #0024 - Raw Materials & Metals,479236.39,28,23,16,33,10,2026-06-12 00:00:00
AUC-0025,Manufacturing & Heavy Machinery,Procurement Request #0025 - Manufacturing & Heavy Machinery,95898.44,49,35,10,10,30,2026-04-03 00:00:00
AUC-0026,Raw Materials & Metals,Procurement Request #0026 - Raw Materials & Metals,348102.4,49,35,25,10,15,2026-05-26 00:00:00
AUC-0027,Construction & Infrastructure,Procurement Request #0027 - Construction & Infrastructure,108457.51,40,22,18,20,10,2026-01-08 00:00:00
AUC-0028,Logistics & Freight,Procurement Request #0028 - Logistics & Freight,272555.57,58,17,10,15,15,2026-01-16 00:00:00
AUC-0029,Manufacturing & Heavy Machinery,Procurement Request #0029 - Manufacturing & Heavy Machinery,57371.46,45,26,21,10,10,2026-02-11 00:00:00
AUC-0030,IT Hardware,Procurement Request #0030 - IT Hardware,230681.76,35,31,17,17,15,2026-05-18 00:00:00
AUC-0031,Manufacturing & Heavy Machinery,Procurement Request #0031 - Manufacturing & Heavy Machinery,380520.03,23,34,17,26,30,2026-04-02 00:00:00
AUC-0032,Manufacturing & Heavy Machinery,Procurement Request #0032 - Manufacturing & Heavy Machinery,180310.05,31,15,17,37,15,2026-06-29 00:00:00
AUC-0033,Logistics & Freight,Procurement Request #0033 - Logistics & Freight,335806.74,57,10,21,12,10,2026-05-26 00:00:00
