bid_id,request_id,vendor_id,bid_price,bid_timestamp,is_fraudulent_flag,collusion_group
BID-00001,REQ-001,VND-0144,55522.48,2026-01-12 15:10:00,0,
BID-00002,REQ-001,VND-0459,54593.72,2026-01-12 15:15:00,0,
BID-00003,REQ-001,VND-0204,53475.24,2026-01-12 15:17:00,0,
BID-00004,REQ-001,VND-0204,52289.79,2026-01-12 15:21:00,0,
BID-00005,REQ-001,VND-0459,51463.39,2026-01-12 15:25:00,0,
BID-00006,REQ-001,VND-0459,50525.67,2026-01-12 15:27:00,0,
BID-00007,REQ-001,VND-0459,50258.02,2026-01-12 15:32:00,0,
BID-00008,REQ-001,VND-0144,49681.29,2026-01-12 15:36:00,0,
BID-00009,REQ-002,VND-0021,52388.71,2026-03-22 07:07:00,0,
BID-00010,REQ-002,VND-0291,51504.74,2026-03-22 07:16:00,0,
BID-00011,REQ-002,VND-0291,51019.0,2026-03-22 07:18:00,0,
BID-00012,REQ-002,VND-0291,50456.13,2026-03-22 07:20:00,0,
BID-00013,REQ-002,VND-0021,49196.15,2026-03-22 07:28:00,0,
BID-00014,REQ-002,VND-0244,48275.1,2026-03-22 07:37:00,0,
BID-00015,REQ-002,VND-0244,47962.77,2026-03-22 07:40:00,0,
BID-00016,REQ-003,VND-0249,178818.1,2026-03-28 08:07:00,0,
BID-00017,REQ-003,VND-0109,174366.86,2026-03-28 08:17:00,0,
BID-00018,REQ-003,VND-0036,171912.77,2026-03-28 08:25:00,0,
BID-00019,REQ-003,VND-0470,168326.34,2026-03-28 08:28:00,0,
BID-00020,REQ-003,VND-0249,165057.98,2026-03-28 08:33:00,0,
BID-00021,REQ-003,VND-0109,162742.03,2026-03-28 08:38:00,0,
BID-00022,REQ-003,VND-0109,160825.15,2026-03-28 08:47:00,0,
BID-00023,REQ-003,VND-0109,158683.0,2026-03-28 08:50:00,0,
BID-00024,REQ-003,VND-0036,156535.18,2026-03-28 08:56:00,0,
BID-00025,REQ-003,VND-0036,152767.09,2026-03-28 09:05:00,0,
BID-00026,REQ-003,VND-0470,151724.53,2026-03-28 09:08:00,0,
BID-00027,REQ-003,VND-0470,149655.38,2026-03-28 09:15:00,0,
BID-00028,REQ-003,VND-0249,146043.82,2026-03-28 09:25:00,0,
BID-00029,REQ-004,VND-0226,52848.63,2026-05-13 12:04:00,0,
BID-00030,REQ-004,VND-0498,52074.73,2026-05-13 12:07:00,0,
BID-00031,REQ-004,VND-0052,50933.9,2026-05-13 12:14:00,0,
BID-00032,REQ-004,VND-0322,49902.38,2026-05-13 12:19:00,0,
BID-00033,REQ-004,VND-0216,48809.37,2026-05-13 12:29:00,0,
BID-00034,REQ-004,VND-0322,47970.83,2026-05-13 12:35:00,0,
BID-00035,REQ-004,VND-0322,47557.88,2026-05-13 12:41:00,0,
BID-00036,REQ-005,VND-0040,56880.08,2026-03-10 05:02:00,0,
BID-00037,REQ-005,VND-0373,55746.9,2026-03-10 05:07:00,0,
BID-00038,REQ-005,VND-0110,55000.08,2026-03-10 05:14:00,0,
BID-00039,REQ-005,VND-0040,54318.02,2026-03-10 05:21:00,0,
BID-00040,REQ-005,VND-0400,53398.71,2026-03-10 05:23:00,0,
BID-00041,REQ-005,VND-0040,52963.61,2026-03-10 05:25:00,0,
BID-00042,REQ-005,VND-0373,52410.56,2026-03-10 05:33:00,0,
BID-00043,REQ-006,VND-0416,145278.53,2026-06-04 13:00:02,1,COL-REQ-006
BID-00044,REQ-006,VND-0449,145128.53,2026-06-04 13:00:04,1,COL-REQ-006
BID-00045,REQ-006,VND-0416,144978.53,2026-06-04 13:00:06,1,COL-REQ-006
BID-00046,REQ-006,VND-0449,144828.53,2026-06-04 13:00:07,1,COL-REQ-006
BID-00047,REQ-006,VND-0416,144678.53,2026-06-04 13:00:08,1,COL-REQ-006
BID-00048,REQ-006,VND-0449,144528.53,2026-06-04 13:00:10,1,COL-REQ-006
BID-00049,REQ-006,VND-0416,144378.53,2026-06-04 13:00:12,1,COL-REQ-006
BID-00050,REQ-006,VND-0449,144228.53,2026-06-04 13:00:13,1,COL-REQ-006
BID-00051,REQ-006,VND-0416,144078.53,2026-06-04 13:00:15,1,COL-REQ-006
BID-00052,REQ-006,VND-0449,143928.53,2026-06-04 13:00:17,1,COL-REQ-006
BID-00053,REQ-006,VND-0005,137269.11,2026-06-04 13:09:17,0,
BID-00054,REQ-006,VND-0035,132483.29,2026-06-04 13:14:17,0,
BID-00055,REQ-007,VND-0132,92013.32,2026-06-07 16:09:00,0,
BID-00056,REQ-007,VND-0087,90760.74,2026-06-07 16:13:00,0,
BID-00057,REQ-007,VND-0223,89340.18,2026-06-07 16:18:00,0,
BID-00058,REQ-007,VND-0492,87895.15,2026-06-07 16:25:00,0,
BID-00059,REQ-007,VND-0027,86757.66,2026-06-07 16:27:00,0,
BID-00060,REQ-007,VND-0223,86291.36,2026-06-07 16:30:00,0,
BID-00061,REQ-007,VND-0175,85319.61,2026-06-07 16:38:00,0,
BID-00062,REQ-007,VND-0492,84202.91,2026-06-07 16:46:00,0,
BID-00063,REQ-007,VND-0132,83587.94,2026-06-07 16:48:00,0,
BID-00064,REQ-007,VND-0132,82882.67,2026-06-07 16:57:00,0,
BID-00065,REQ-008,VND-0076,154437.85,2026-01-14 22:06:00,0,
BID-00066,REQ-008,VND-0099,152981.27,2026-01-14 22:10:00,0,
BID-00067,REQ-008,VND-0076,150654.48,2026-01-14 22:13:00,0,
BID-00068,REQ-008,VND-0319,148364.68,2026-01-14 22:20:00,0,
BID-00069,REQ-008,VND-0099,145464.51,2026-01-14 22:24:00,0,
BID-00070,REQ-008,VND-0325,144438.09,2026-01-14 22:30:00,0,
BID-00071,REQ-008,VND-0325,143214.71,2026-01-14 22:34:00,0,
BID-00072,REQ-008,VND-0076,141991.23,2026-01-14 22:43:00,0,
BID-00073,REQ-008,VND-0219,139138.78,2026-01-14 22:52:00,0,
BID-00074,REQ-008,VND-0319,136653.79,2026-01-14 22:59:00,0,
BID-00075,REQ-008,VND-0099,135557.94,2026-01-14 23:02:00,0,
BID-00076,REQ-008,VND-0219,133681.26,2026-01-14 23:08:00,0,
BID-00077,REQ-008,VND-0099,131431.61,2026-01-14 23:15:00,0,
BID-00078,REQ-008,VND-0319,130579.44,2026-01-14 23:24:00,0,
BID-00079,REQ-009,VND-0344,16709.08,2026-04-23 02:00:01,1,COL-REQ-009
BID-00080,REQ-009,VND-0018,16559.08,2026-04-23 02:00:03,1,COL-REQ-009
BID-00081,REQ-009,VND-0344,16409.08,2026-04-23 02:00:05,1,COL-REQ-009
BID-00082,REQ-009,VND-0018,16259.08,2026-04-23 02:00:06,1,COL-REQ-009
BID-00083,REQ-009,VND-0344,16109.08,2026-04-23 02:00:07,1,COL-REQ-009
BID-00084,REQ-009,VND-0018,15959.08,2026-04-23 02:00:09,1,COL-REQ-009
BID-00085,REQ-009,VND-0344,15809.08,2026-04-23 02:00:11,1,COL-REQ-009
BID-00086,REQ-009,VND-0018,15659.08,2026-04-23 02:00:12,1,COL-REQ-009
BID-00087,REQ-009,VND-0344,15509.08,2026-04-23 02:00:14,1,COL-REQ-009
BID-00088,REQ-009,VND-0018,15359.08,2026-04-23 02:00:15,1,COL-REQ-009
BID-00089,REQ-009,VND-0003,15836.01,2026-04-23 02:07:15,0,
BID-00090,REQ-009,VND-0017,15271.85,2026-04-23 02:16:15,0,
BID-00091,REQ-010,VND-0345,98282.76,2026-02-03 23:02:00,0,
BID-00092,REQ-010,VND-0371,96400.4,2026-02-03 23:11:00,0,
