bid_id,auction_id,vendor_id,price,price_ratio,reliability_score,delivery_score,historical_rating,defect_rate,avg_delay_days,completed_contracts,utility_score,is_fraud,timestamp,is_winner
BID-000001,AUC-0001,VND-0620,100918.48,0.9702,0.984,80.7,4.96,0.001,5.8,31,0.7252,0,2026-06-14 00:00:00,1
BID-000002,AUC-0001,VND-0072,96224.89,0.9251,0.749,61.0,4.37,0.0151,11.7,175,0.6049,0,2026-06-14 00:00:00,0
BID-000003,AUC-0001,VND-0085,93758.45,0.9014,0.52,50.0,3.8,0.0288,15.0,149,0.4937,0,2026-06-14 00:00:00,0
BID-000004,AUC-0002,VND-0026,162136.22,0.9625,0.985,96.2,4.96,0.001,1.1,61,0.5532,0,2026-04-23 00:00:00,1
BID-000005,AUC-0002,VND-0078,154744.67,0.9186,0.993,83.5,4.98,0.001,5.0,285,0.539,0,2026-04-23 00:00:00,0
BID-000006,AUC-0002,VND-0794,147575.02,0.8761,0.848,69.5,4.62,0.0091,9.2,292,0.4907,0,2026-04-23 00:00:00,0
BID-000007,AUC-0003,VND-0161,116794.39,0.9648,0.775,78.1,4.44,0.0135,6.6,192,0.6097,0,2026-03-23 00:00:00,0
BID-000008,AUC-0003,VND-0169,115078.88,0.9506,0.928,86.3,4.82,0.0043,4.1,252,0.6826,0,2026-03-23 00:00:00,0
BID-000009,AUC-0003,VND-0016,109353.76,0.9033,0.804,62.3,4.51,0.0118,11.3,151,0.6068,0,2026-03-23 00:00:00,0
BID-000010,AUC-0003,VND-0796,103908.31,0.8583,0.846,91.2,4.62,0.0092,2.6,207,0.6894,0,2026-03-23 00:00:00,0
BID-000011,AUC-0003,VND-0161,100597.86,0.831,0.775,78.1,4.44,0.0135,6.6,192,0.6472,0,2026-03-23 00:00:00,0
BID-000012,AUC-0003,VND-0285,97492.41,0.8053,0.952,83.0,4.88,0.0029,5.1,291,0.7254,0,2026-03-23 00:00:00,0
BID-000013,AUC-0003,VND-0016,92904.09,0.7674,0.804,62.3,4.51,0.0118,11.3,151,0.6449,0,2026-03-23 00:00:00,0
BID-000014,AUC-0003,VND-0285,89722.65,0.7411,0.952,83.0,4.88,0.0029,5.1,291,0.7434,0,2026-03-23 00:00:00,1
BID-000015,AUC-0004,VND-0608,181891.67,0.9888,0.847,65.2,4.62,0.0092,10.4,18,0.4983,0,2026-04-27 00:00:00,0
BID-000016,AUC-0004,VND-0380,178473.84,0.9702,0.947,89.7,4.87,0.0032,3.1,124,0.5917,0,2026-04-27 00:00:00,0
