alert_id,request_id,description,timestamp,severity,vendor_ids_involved
FRD-001,REQ-006,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0416 and VND-0449.,2026-06-04 13:00:20,HIGH,"VND-0416,VND-0449"
FRD-002,REQ-009,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0344 and VND-0018.,2026-04-23 02:00:20,HIGH,"VND-0344,VND-0018"
FRD-003,REQ-016,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0207 and VND-0386.,2026-06-24 06:00:20,HIGH,"VND-0207,VND-0386"
FRD-004,REQ-024,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0268 and VND-0259.,2026-05-01 21:00:20,HIGH,"VND-0268,VND-0259"
FRD-005,REQ-026,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0321 and VND-0134.,2026-02-12 23:00:20,HIGH,"VND-0321,VND-0134"
FRD-006,REQ-032,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0149 and VND-0121.,2026-05-02 13:00:20,HIGH,"VND-0149,VND-0121"
FRD-007,REQ-049,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0121 and VND-0219.,2026-06-03 22:00:20,HIGH,"VND-0121,VND-0219"
FRD-008,REQ-055,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0115 and VND-0203.,2026-04-24 23:00:20,HIGH,"VND-0115,VND-0203"
FRD-009,REQ-056,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0380 and VND-0169.,2026-03-06 02:00:20,HIGH,"VND-0380,VND-0169"
FRD-010,REQ-061,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0459 and VND-0010.,2026-04-17 15:00:20,HIGH,"VND-0459,VND-0010"
FRD-011,REQ-071,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0318 and VND-0147.,2026-01-16 17:00:20,HIGH,"VND-0318,VND-0147"
FRD-012,REQ-072,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0009 and VND-0004.,2026-05-08 03:00:20,HIGH,"VND-0009,VND-0004"
FRD-013,REQ-092,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0032 and VND-0242.,2026-06-24 08:00:20,HIGH,"VND-0032,VND-0242"
FRD-014,REQ-093,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0245 and VND-0317.,2026-05-15 20:00:20,HIGH,"VND-0245,VND-0317"
FRD-015,REQ-095,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0059 and VND-0352.,2026-04-17 10:00:20,HIGH,"VND-0059,VND-0352"
FRD-016,REQ-102,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0438 and VND-0199.,2026-03-17 14:00:20,HIGH,"VND-0438,VND-0199"
FRD-017,REQ-105,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0272 and VND-0367.,2026-02-02 20:00:20,HIGH,"VND-0272,VND-0367"
FRD-018,REQ-114,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0054 and VND-0408.,2026-04-10 12:00:20,HIGH,"VND-0054,VND-0408"
FRD-019,REQ-117,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0500 and VND-0330.,2026-06-19 04:00:20,HIGH,"VND-0500,VND-0330"
FRD-020,REQ-126,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0353 and VND-0295.,2026-06-08 12:00:20,HIGH,"VND-0353,VND-0295"
FRD-021,REQ-144,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0194 and VND-0040.,2026-04-10 20:00:20,HIGH,"VND-0194,VND-0040"
FRD-022,REQ-146,Suspicious bidding pattern: rapid alternating bids with identical step decrements between VND-0194 and VND-0064.,2026-01-19 20:00:20,HIGH,"VND-0194,VND-0064"
