request_id,title,category,max_budget,quantity,vendor_id,name,bid_price,historical_rating,reliability_score,avg_delay_days,defect_rate,historical_completion_rate,ai_recommendation_score
REQ-001,BI Analytics Platform Licenses (Lot 001),Software Licenses,56032.61,898,VND-0144,"Lee, Horton and Snyder",49681.29,4.25,0.698,2.06,0.0898,0.832,51.8
REQ-002,Shared Pantry Essentials (Lot 002),Office Supplies,53160.87,363,VND-0244,Lyons-Bender,47962.77,4.67,0.866,0.23,0.0028,0.816,59.6
REQ-003,Server Rack Infrastructure Upgrade (Lot 003),IT Hardware,181719.64,413,VND-0249,Johnston-Hines,146043.82,4.09,0.636,2.27,0.0394,0.532,53.5
REQ-004,Bulk Equipment Shipping Services (Lot 004),Logistics & Shipping,53661.51,661,VND-0322,Brock-Mcdonald,47557.88,4.16,0.663,1.72,0.0094,0.623,52.1
REQ-005,Steel Tubes & Sheets Supply (Lot 005),Raw Metals,58030.2,123,VND-0373,Reynolds Ltd,52410.56,4.24,0.694,1.27,0.0248,0.631,52.8
REQ-006,Inter-State Freight Shipping (Lot 006),Logistics & Shipping,153082.66,116,VND-0035,"Dyer, Potter and Mack",132483.29,4.4,0.759,2.04,0.0361,0.993,55.1
REQ-007,Executive Lunch Board Meetings (Lot 007),Catering Services,92699.27,451,VND-0132,Spencer-Lee,82882.67,4.8,0.919,0.36,0.0359,0.818,61.0
REQ-008,Adhesives & Resins Bulk (Lot 008),Chemical Materials,156458.56,265,VND-0319,Buchanan LLC,130579.44,4.72,0.89,0.03,0.0427,0.776,62.8
REQ-009,Server Rack Infrastructure Upgrade (Lot 009),IT Hardware,17746.4,377,VND-0017,James Group,15271.85,4.1,0.64,1.97,0.0153,0.781,52.0
REQ-010,Office Electrical Maintenance (Lot 010),HVAC & Maintenance,100076.38,684,VND-0371,Mcdaniel Group,89870.69,4.77,0.909,0.08,0.0475,0.751,60.8
REQ-011,Access Control Hardware & Service (Lot 011),Security Services,11554.65,687,VND-0130,Cortez LLC,10192.65,4.22,0.688,3.63,0.1036,0.553,49.5
REQ-012,Executive Lunch Board Meetings (Lot 012),Catering Services,17217.37,572,VND-0247,Davis Ltd,15423.48,4.66,0.864,0.65,0.0626,0.859,58.6
REQ-013,Annual Report High-Volume Print (Lot 013),Marketing & Print,181755.3,698,VND-0384,"Gallegos, Adams and White",147147.38,4.65,0.858,0.32,0.0378,0.78,62.6
REQ-014,Supply Chain Warehouse Distribution (Lot 014),Logistics & Shipping,32152.85,566,VND-0409,Jackson-Meza,29371.37,4.58,0.832,1.86,0.0866,0.809,55.1
REQ-015,Shared Pantry Essentials (Lot 015),Office Supplies,108822.03,809,VND-0402,Thompson-James,93896.14,3.84,0.535,2.38,0.0079,0.78,48.3
REQ-016,Sanitization & Disinfection Contract (Lot 016),Janitorial Services,85163.64,457,VND-0055,Jones Inc,74270.5,4.16,0.663,3.24,0.0695,0.797,50.0
REQ-017,Specialized Window Cleaning Lot (Lot 017),Janitorial Services,72731.95,679,VND-0268,Jimenez Ltd,63453.25,4.19,0.677,0.76,0.0314,0.582,54.1
REQ-018,Promotional Merchandise Lot (Lot 018),Marketing & Print,180467.5,100,VND-0414,Cook and Sons,152507.25,4.08,0.632,1.15,0.0096,0.828,53.5
REQ-019,Laser Printer Toners & Papers (Lot 019),Office Supplies,9255.56,155,VND-0402,Thompson-James,7350.62,3.84,0.535,2.38,0.0079,0.78,51.0
REQ-020,Daily Office Janitorial Contract (Lot 020),Janitorial Services,134438.99,471,VND-0346,Zhang PLC,109910.7,3.95,0.582,1.45,0.11,0.59,51.7
REQ-021,Shared Pantry Essentials (Lot 021),Office Supplies,192861.91,511,VND-0477,Scott and Sons,166735.95,4.68,0.873,0.2,0.0864,0.842,60.5
REQ-022,Billboard Campaign Printing (Lot 022),Marketing & Print,114232.8,919,VND-0088,Anderson-Bailey,94816.0,4.22,0.687,2.15,0.0528,0.8,54.0
REQ-023,Reception Lounge Renovation (Lot 023),Office Furniture,187680.38,56,VND-0353,Smith and Sons,159036.53,4.48,0.793,2.94,0.0199,0.778,55.8
REQ-024,Specialized Window Cleaning Lot (Lot 024),Janitorial Services,15190.29,825,VND-0055,Jones Inc,13263.96,4.16,0.663,3.24,0.0695,0.797,49.9
REQ-025,Access Control Hardware & Service (Lot 025),Security Services,86664.7,977,VND-0261,Wolf-Harris,80009.86,4.42,0.77,2.52,0.0314,0.906,52.5
REQ-026,Water Treatment Chemicals (Lot 026),Chemical Materials,55730.77,923,VND-0031,Burton Ltd,50929.49,4.76,0.904,1.53,0.0279,0.778,58.2
REQ-027,Carpet & Deep Clean SLA (Lot 027),Janitorial Services,147510.09,774,VND-0313,Robinson-Lee,124232.91,4.9,0.96,0.27,0.0662,0.87,64.1
REQ-028,Event Crowd Management Services (Lot 028),Security Services,196352.93,646,VND-0190,"Burke, Martinez and Riggs",171632.27,4.53,0.81,1.01,0.0851,0.947,57.1
REQ-029,OS Upgrade Enterprise Agreement (Lot 029),Software Licenses,55023.36,245,VND-0388,Davis PLC,44214.02,3.8,0.522,3.36,0.1125,0.711,47.9
REQ-030,HQ Security Guard Deployment (Lot 030),Security Services,132564.05,146,VND-0013,Arnold Ltd,113090.35,4.43,0.773,0.32,0.0951,0.944,57.7
REQ-031,Annual Corporate Gala Catering (Lot 031),Catering Services,43629.04,728,VND-0029,"Ross, Robinson and Bright",37025.98,4.91,0.965,0.41,0.0525,0.968,63.9
REQ-032,Polymers & Plastic Pellets (Lot 032),Chemical Materials,115239.4,560,VND-0031,Burton Ltd,102219.53,4.76,0.904,1.53,0.0279,0.778,59.3
REQ-033,Shared Pantry Essentials (Lot 033),Office Supplies,95466.83,403,VND-0475,Blake Group,78853.82,4.52,0.808,0.28,0.0339,0.946,60.5
REQ-034,Fire Safety Systems Audit (Lot 034),HVAC & Maintenance,194541.04,493,VND-0410,Collier-Gillespie,177083.84,4.25,0.7,0.35,0.1032,0.824,53.1
REQ-035,Water Treatment Chemicals (Lot 035),Chemical Materials,123662.82,556,VND-0489,King-Smith,109979.73,4.5,0.799,1.87,0.0959,0.983,54.9
REQ-036,Specialized Window Cleaning Lot (Lot 036),Janitorial Services,73153.74,284,VND-0314,Byrd-Le,61008.92,3.9,0.559,0.41,0.0791,0.651,52.1
REQ-037,Polymers & Plastic Pellets (Lot 037),Chemical Materials,27248.68,689,VND-0442,Rangel LLC,24373.33,3.94,0.575,1.17,0.0841,0.667,49.1
REQ-038,Specialized Window Cleaning Lot (Lot 038),Janitorial Services,34493.13,642,VND-0268,Jimenez Ltd,27642.64,4.19,0.677,0.76,0.0314,0.582,56.9
REQ-039,Chiller System Maintenance Service (Lot 039),HVAC & Maintenance,48936.8,90,VND-0133,"Bentley, Byrd and Orr",39742.04,3.82,0.528,6.61,0.0957,0.85,43.6
REQ-040,Specialized Window Cleaning Lot (Lot 040),Janitorial Services,53938.5,56,VND-0098,Davis Group,47802.44,4.69,0.875,1.44,0.0891,0.853,58.0
REQ-041,Shared Pantry Essentials (Lot 041),Office Supplies,170870.13,339,VND-0358,"Williams, Logan and Camacho",155687.96,4.55,0.82,2.56,0.0429,0.879,54.3
REQ-042,Polymers & Plastic Pellets (Lot 042),Chemical Materials,114438.44,859,VND-0076,"Daniels, Adkins and Brown",93884.14,3.81,0.526,2.52,0.0638,0.723,49.0
REQ-043,Daily Office Cafeteria Food SLA (Lot 043),Catering Services,107061.23,979,VND-0460,"Valentine, Joyce and Murray",85162.62,3.91,0.564,1.26,0.1066,0.579,52.4
REQ-044,Billboard Campaign Printing (Lot 044),Marketing & Print,27379.93,777,VND-0085,"Evans, Stewart and Walton",22474.3,4.82,0.928,0.62,0.0407,0.774,63.8
REQ-045,Server Rack Infrastructure Upgrade (Lot 045),IT Hardware,172727.24,249,VND-0336,"Avery, Horton and Fernandez",157324.6,4.07,0.629,1.61,0.0952,0.755,49.3
REQ-046,Elevator Periodic Service SLA (Lot 046),HVAC & Maintenance,145948.79,481,VND-0185,Rodriguez-Johnson,118011.06,4.24,0.696,3.61,0.0458,0.632,53.3
REQ-047,Ergonomic Seating Bulk Order (Lot 047),Office Furniture,18195.33,801,VND-0147,Robinson-Brock,15849.36,4.54,0.817,0.35,0.0072,0.782,59.1
REQ-048,Chiller System Maintenance Service (Lot 048),HVAC & Maintenance,143027.84,956,VND-0371,Mcdaniel Group,121685.05,4.77,0.909,0.08,0.0475,0.751,62.7
REQ-049,Adhesives & Resins Bulk (Lot 049),Chemical Materials,110989.95,82,VND-0031,Burton Ltd,97471.32,4.76,0.904,1.53,0.0279,0.778,59.7
REQ-050,OS Upgrade Enterprise Agreement (Lot 050),Software Licenses,20936.44,875,VND-0401,Wilson-Jimenez,16469.38,3.99,0.596,1.1,0.0255,0.624,54.7
REQ-051,Chiller System Maintenance Service (Lot 051),HVAC & Maintenance,94368.63,360,VND-0065,Baxter Inc,85159.9,4.92,0.968,0.27,0.0471,0.774,62.1
REQ-052,OS Upgrade Enterprise Agreement (Lot 052),Software Licenses,99515.78,17,VND-0246,Navarro-Munoz,83989.09,4.17,0.667,3.43,0.0114,0.526,51.6
REQ-053,Polymers & Plastic Pellets (Lot 053),Chemical Materials,37326.04,655,VND-0111,Patton-Jenkins,32072.92,3.86,0.542,13.82,0.0436,0.63,33.0
REQ-054,Adhesives & Resins Bulk (Lot 054),Chemical Materials,189411.14,756,VND-0325,"Diaz, Gibbs and Smith",161500.91,3.96,0.584,0.32,0.0721,0.747,52.3
REQ-055,Fire Safety Systems Audit (Lot 055),HVAC & Maintenance,170745.2,481,VND-0015,Williams and Sons,151741.35,3.86,0.544,0.7,0.0053,0.614,49.8
REQ-056,Bulk Equipment Shipping Services (Lot 056),Logistics & Shipping,135459.36,877,VND-0005,"Guzman, Hoffman and Baldwin",122767.31,4.13,0.652,1.81,0.0466,0.602,50.4
REQ-057,Specialized Window Cleaning Lot (Lot 057),Janitorial Services,95147.63,773,VND-0259,Gutierrez-Lopez,83344.15,4.04,0.615,0.35,0.0085,0.744,52.9
REQ-058,Steel Tubes & Sheets Supply (Lot 058),Raw Metals,85294.28,511,VND-0188,Vargas Ltd,70439.23,4.88,0.953,0.32,0.0098,0.985,65.0
REQ-059,General Consumables Lot (Lot 059),Office Supplies,131939.83,821,VND-0224,Wilson-Jones,107200.17,4.79,0.915,0.3,0.058,0.801,64.0
REQ-060,Office Electrical Maintenance (Lot 060),HVAC & Maintenance,111359.21,574,VND-0063,Wright and Sons,94071.7,4.95,0.982,0.24,0.024,0.846,65.1
REQ-061,Cybersecurity Suite Licenses (Lot 061),Software Licenses,17143.26,742,VND-0002,Doyle Ltd,15288.33,3.95,0.578,0.5,0.0066,0.803,50.9
REQ-062,Shared Pantry Essentials (Lot 062),Office Supplies,104938.02,666,VND-0497,Blackwell LLC,82488.24,3.92,0.567,0.25,0.0835,0.674,54.4
REQ-063,OS Upgrade Enterprise Agreement (Lot 063),Software Licenses,162248.71,231,VND-0418,Thomas and Sons,143674.15,3.9,0.558,5.26,0.0439,0.807,43.9
REQ-064,Bulk Equipment Shipping Services (Lot 064),Logistics & Shipping,94551.78,489,VND-0438,"Williams, Mccoy and Cook",81116.34,4.7,0.88,0.12,0.048,0.804,61.4
REQ-065,Polymers & Plastic Pellets (Lot 065),Chemical Materials,15131.53,365,VND-0136,"Lawson, Morris and Ramos",12861.27,4.94,0.977,0.15,0.0187,0.918,64.9
REQ-066,Bulk Equipment Shipping Services (Lot 066),Logistics & Shipping,158324.25,241,VND-0052,Walker LLC,143137.33,4.51,0.803,0.01,0.0097,0.916,57.8
REQ-067,Steel Tubes & Sheets Supply (Lot 067),Raw Metals,44265.94,765,VND-0464,Spencer-Garcia,37469.35,4.83,0.931,0.91,0.0786,0.813,62.1
REQ-068,Laser Printer Toners & Papers (Lot 068),Office Supplies,55431.06,761,VND-0096,Harris-Walters,48832.68,3.9,0.559,3.68,0.0725,0.807,45.9
REQ-069,Access Control Hardware & Service (Lot 069),Security Services,37117.74,107,VND-0395,"Ramos, Nelson and Fischer",29237.49,3.78,0.512,3.51,0.0723,0.691,48.4
REQ-070,Aluminum Extrusion Profiles (Lot 070),Raw Metals,69391.94,314,VND-0387,"Morales, Thomas and Schultz",60324.77,4.95,0.981,0.09,0.0657,0.888,63.9
REQ-071,Conference Room Furniture Setup (Lot 071),Office Furniture,152566.54,51,VND-0008,"Henderson, Ramirez and Lewis",131889.38,4.49,0.796,0.07,0.0585,0.793,58.6
REQ-072,Annual Corporate Gala Catering (Lot 072),Catering Services,106280.24,658,VND-0012,Dudley Group,93752.97,4.07,0.629,2.82,0.0342,0.682,49.5
REQ-073,Office Electrical Maintenance (Lot 073),HVAC & Maintenance,44951.85,485,VND-0265,Tran Inc,37092.08,4.71,0.884,0.42,0.0429,0.907,62.5
REQ-074,Ergonomic Seating Bulk Order (Lot 074),Office Furniture,176176.87,263,VND-0124,"Joyce, Wilson and Lam",146201.56,4.1,0.639,0.53,0.0505,0.624,54.8
REQ-075,Water Treatment Chemicals (Lot 075),Chemical Materials,176518.46,80,VND-0368,Gutierrez Group,146273.49,4.84,0.935,0.69,0.0483,0.935,63.5
REQ-076,Adjustable Standing Desks (Lot 076),Office Furniture,174762.79,835,VND-0093,"Garcia, Humphrey and Baker",139218.84,3.99,0.598,0.2,0.0113,0.506,55.7
REQ-077,Stationery Bulk Annual Contract (Lot 077),Office Supplies,51565.26,576,VND-0358,"Williams, Logan and Camacho",44241.22,4.55,0.82,2.56,0.0429,0.879,56.4
REQ-078,Elevator Periodic Service SLA (Lot 078),HVAC & Maintenance,92991.67,799,VND-0115,Torres-Pope,84661.02,3.76,0.506,2.19,0.0067,0.542,45.8
REQ-079,Carpet & Deep Clean SLA (Lot 079),Janitorial Services,197072.98,885,VND-0213,Stewart Ltd,158297.59,4.38,0.751,1.58,0.0067,0.937,58.2
REQ-080,Chiller System Maintenance Service (Lot 080),HVAC & Maintenance,155542.43,629,VND-0015,Williams and Sons,129908.54,3.86,0.544,0.7,0.0053,0.614,51.9
REQ-081,Inter-State Freight Shipping (Lot 081),Logistics & Shipping,10297.65,165,VND-0298,Schmidt PLC,8146.55,4.13,0.65,3.01,0.0073,0.704,53.8
REQ-082,Cybersecurity Suite Licenses (Lot 082),Software Licenses,17714.9,7,VND-0356,Strickland-Palmer,14260.66,4.15,0.658,1.69,0.0045,0.552,55.2
REQ-083,Carpet & Deep Clean SLA (Lot 083),Janitorial Services,95466.62,38,VND-0033,"Ferrell, Rice and Maddox",81264.53,3.76,0.503,2.48,0.05,0.578,47.2
REQ-084,Weekly Friday Happy Hour Snacks (Lot 084),Catering Services,182297.94,77,VND-0174,Lewis-Murphy,150930.24,4.38,0.754,0.48,0.0114,0.903,58.7
REQ-085,Event Brochure & Poster Print (Lot 085),Marketing & Print,110046.85,440,VND-0092,"Smith, Montoya and Evans",102177.42,4.93,0.971,0.1,0.0791,0.976,61.1
REQ-086,Event Brochure & Poster Print (Lot 086),Marketing & Print,102073.44,935,VND-0146,Stafford Inc,83841.23,4.32,0.73,7.41,0.0501,0.832,48.7
REQ-087,Server Rack Infrastructure Upgrade (Lot 087),IT Hardware,25567.37,816,VND-0036,Rodriguez-Graham,22279.72,4.95,0.981,0.04,0.0405,0.825,64.1
REQ-088,Supply Chain Warehouse Distribution (Lot 088),Logistics & Shipping,133072.12,132,VND-0041,Ryan PLC,113010.97,4.21,0.684,2.21,0.0667,0.688,52.9
