vendor_id,name,domain,historical_rating,reliability_score,delivery_score,avg_delay_days,defect_rate,completed_contracts,cancellation_rate,verified
VND-0001,"Rodriguez, Figueroa and Sanchez",Software & Cloud Services,4.22,0.687,73.5,8.0,0.0188,27,0.026,1
VND-0002,Doyle Ltd,Construction & Infrastructure,4.66,0.866,77.9,6.6,0.008,67,0.013,1
VND-0003,"Mcclain, Miller and Henderson",IT Hardware,3.95,0.578,50.0,15.0,0.0253,231,0.006,0
VND-0004,Davis and Sons,Construction & Infrastructure,3.82,0.529,52.5,14.2,0.0283,273,0.03,0
VND-0005,"Guzman, Hoffman and Baldwin",Raw Materials & Metals,4.5,0.801,74.5,7.6,0.012,294,0.012,1
VND-0006,"Gardner, Robinson and Lawrence",Software & Cloud Services,3.78,0.51,56.0,13.2,0.0294,18,0.037,0
VND-0007,Blake and Sons,Software & Cloud Services,4.79,0.916,76.8,7.0,0.005,189,0.005,1
VND-0008,"Henderson, Ramirez and Lewis",Raw Materials & Metals,3.98,0.591,54.1,13.8,0.0245,187,0.009,0
VND-0009,Garcia-James,Manufacturing & Heavy Machinery,4.13,0.652,56.5,13.0,0.0209,191,0.023,1
VND-0010,Abbott-Munoz,Raw Materials & Metals,4.29,0.716,56.6,13.0,0.017,250,0.018,1
VND-0011,Blair PLC,Construction & Infrastructure,4.51,0.806,60.5,11.8,0.0116,165,0.02,1
VND-0012,Dudley Group,Healthcare & Medical Supplies,4.12,0.646,60.9,11.7,0.0212,200,0.023,0
VND-0013,Arnold Ltd,IT Hardware,4.32,0.728,68.2,9.5,0.0163,131,0.024,1
VND-0014,"Mcclure, Ward and Lee",Raw Materials & Metals,4.0,0.6,59.5,12.2,0.024,66,0.018,0
VND-0015,Williams and Sons,Logistics & Freight,4.49,0.796,63.2,11.0,0.0122,201,0.006,1
VND-0016,Galloway-Wyatt,Healthcare & Medical Supplies,4.51,0.804,62.3,11.3,0.0118,151,0.018,1
VND-0017,James Group,Software & Cloud Services,3.83,0.533,58.4,12.5,0.028,102,0.027,0
